# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: 1.0
#            #       - eta2_IA: 0.0
#            #       - b1_IA: 1.0
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA        log_w   log_l
3.489020156186338761e-01 6.056290036429932272e-02 9.143191111356916423e-01 3.750225623278801379e+00 8.659051265208983494e-01 2.374475035043994153e-01 7.867858760271059460e+00 4.547793088582247734e+00 4.573619537912353650e+00 -2.632708292828385620e+11 -2.632708293233541870e+11
5.912783598120492368e-01 8.594790812520058942e-02 8.436771546932180232e-01 2.882910312457790170e+00 7.954159217651123326e-01 1.830208942914350323e-01 8.071159396552424425e+00 -1.995264990149856477e+00 -3.182993633806781020e-01 -1.629543677443984663e+06 -1.629584193065501284e+06
6.747627570183805101e-01 6.249451818870337821e-02 9.575595252410613600e-01 3.298553330786277549e+00 8.376918748459318831e-01 1.956211580121052784e-01 7.877445559395045649e+00 7.628948832877888719e-01 -4.517665201598658697e+00 -1.078314636332174949e+07 -1.078318687894326635e+07
5.728557077191772651e-01 1.955419889099401648e-02 7.595585223503600325e-01 2.512148491496865255e+00 6.290754963666251864e-01 2.941160564945617395e-01 8.105544835855511110e+00 -2.860632663934264741e+00 2.337302322494760887e-02 -4.397436631276864791e+05 -4.397841787492029252e+05
5.161156423969283091e-01 5.839521989321924678e-02 5.878638568061272940e-01 3.726442737154912699e+00 8.455044631778292352e-01 3.679333472495063262e-01 7.881581943482529162e+00 3.807296554123313470e+00 9.954262489646126255e-01 -4.037748917382804677e+06 -4.037789433004321065e+06
3.485602328762211766e-01 6.550220470230262715e-02 4.669926560181503761e-01 2.270944267665263361e+00 8.322702198575446797e-01 2.583053762143303067e-01 8.146836028054774914e+00 4.511883126252033804e+00 4.248627649189796074e+00 -2.267777140666372180e+08 -2.267777545822587311e+08
4.638776748848182363e-01 6.649237851130479493e-02 8.379955114358861312e-01 3.617297255467131212e+00 9.755228755074542013e-01 1.284848935395102032e-01 8.242013079596118175e+00 -4.312734094185036504e+00 -3.768024732779469144e+00 -4.702450638128412887e+06 -4.702491153749928810e+06
3.508266369215647940e-01 7.191545590008018018e-02 6.276947221539092014e-01 3.171904256894166885e+00 7.638542854830528972e-01 3.082045107441809817e-01 7.985314229953155873e+00 -3.377076729488479589e+00 2.144178515942778418e+00 -8.740476065020797541e+05 -8.740881221235962585e+05
7.863753468956674597e-01 7.918359712452378851e-02 7.229515637035264231e-01 2.899277341057809210e+00 8.976686494005224892e-01 4.704632802837371286e-01 7.980087138128533653e+00 1.462889784499852297e+00 -4.599329902083312049e+00 -2.698907753538485616e+06 -2.698948269160002004e+06
7.617874954239344243e-01 7.975659362885460790e-02 8.165237886592636718e-01 3.398726524554689377e+00 1.008256398217203254e+00 2.421447687002887816e-01 8.125248501958585834e+00 -4.984280754401923197e+00 3.447579715225847607e+00 -3.171702084414035034e+11 -3.171702084819191284e+11
7.047220285181361454e-01 5.820722121330883236e-02 4.462027985123364626e-01 3.926031935816258311e+00 1.084407350899624145e+00 3.463059672360431773e-01 8.246840586510124638e+00 -2.767374452389944395e+00 3.587878334889870402e+00 -7.610918865922352791e+09 -7.610918906437974930e+09
5.921194400010829639e-01 9.471483189882565212e-02 8.799781692011934275e-01 3.965776217529646708e+00 6.410352208899325888e-01 3.189445447016442392e-01 7.760135164594634816e+00 -9.558645935037004548e-01 3.556717409642493166e+00 -2.973418651418806314e+08 -2.973419056575021148e+08
7.030579090084765337e-01 2.717191668975436902e-02 9.224273145107495520e-01 2.722526385546887973e+00 6.049424420548448200e-01 2.828203582500223301e-01 8.275579668997650629e+00 -1.756444569583551996e+00 -4.244241395129026984e+00 -2.027889835916203447e+06 -2.027930351537720067e+06
3.993144862505213499e-01 5.930295675014284756e-02 7.196654564178668334e-01 2.313248640967415337e+00 1.079525836509615644e+00 6.658015720793880599e-02 8.268125652051574903e+00 -2.972653751415665901e+00 2.104981538615896319e+00 -6.363862905783555470e+05 -6.364268061998720514e+05
6.480568009863629797e-01 9.030973769162790876e-02 9.059712895713466496e-01 3.201557148177264445e+00 1.122297416938788039e+00 2.078747702269582720e-01 8.064543543909669765e+00 2.391928469761941400e+00 3.861636985547891143e+00 -3.705636750929883575e+10 -3.705636754981445312e+10
4.224723430728457574e-01 4.621953817068147341e-02 4.558665195824385674e-01 2.865171819824239741e+00 7.317943053301014800e-01 6.205201355992068235e-02 7.843165903978988496e+00 -2.907430091453547583e+00 3.986403911283936452e+00 -1.627940186140404344e+08 -1.627940591296619475e+08
6.355395380350212786e-01 1.923612264321303278e-02 8.670133937722379613e-01 2.348522106697158662e+00 1.110057409590738953e+00 2.485462601587283826e-01 7.945830604216788551e+00 4.821644617065743432e+00 -2.041394838692773828e+00 -2.340394813426373061e+06 -2.340435329047889449e+06
