# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
3.572268975794877788e-01 2.826886811011754957e-02 6.344015258817314873e-01 3.239496185056610855e+00 1.013672582822430890e+00 2.996993381533280543e-01 7.791389452535755211e+00 3.866776511053714671e+00 4.057998273126834476e+00 8.873699717059881920e-01 4.038256021285439701e+00 1.338580054785159179e+00 -1.364027684978142166e+10 -1.364027687196120262e+10
7.233394904420316074e-01 5.855395534660745582e-02 5.255814438861670101e-01 3.834372635945345387e+00 8.704993030089533956e-01 2.497420447033736890e-01 7.919920701919142658e+00 -4.769821672848639338e+00 -7.558560596376935337e-01 -1.368205387139724838e+00 8.303319845552081802e-01 5.378521629271970639e-02 -8.332447802464568615e+07 -8.332450020442683995e+07
5.374918359169494897e-01 1.138965520477095567e-02 4.315575780209919832e-01 1.768358664686270565e+00 1.106639487564691215e+00 4.578285358180793074e-01 7.967973730427252654e+00 -2.143627673542098933e-01 1.155226455664784879e+00 4.405727700716683515e+00 4.276243595389136232e+00 1.538316309567036022e-01 -2.892405516249523759e+08 -2.892405738047335148e+08
6.840456191115308338e-01 8.351171653642408543e-02 8.792441788592001428e-01 3.441804404239888981e+00 1.024178800447060222e+00 1.735079531971827627e-01 8.126656421604540270e+00 -9.500556555967687444e-01 -4.889942518512114589e+00 -7.616410295609608028e-01 -1.986475072335349701e+00 1.285719532857681369e+00 -1.665530052008789182e+08 -1.665530273806600869e+08
7.356625237964861119e-01 2.849431162337187629e-02 8.575561509599965992e-01 3.419249062341499723e+00 1.102791600653230786e+00 4.664581362954831611e-01 7.609586894928521694e+00 -1.696771872359320810e+00 4.983308606293601173e+00 4.786534675064599398e+00 4.775123509876355143e+00 5.612269744458577847e-01 -2.146717564812131520e+17 -2.146717564812131840e+17
4.937557951316613458e-01 9.299138911864780754e-02 7.420961661788201269e-01 3.464676810309574861e+00 9.604096285815071354e-01 2.922866698904926230e-01 7.906480882832468637e+00 -1.336657166808236319e+00 -3.279477157236151186e+00 -3.975968271477131388e+00 -2.036091054477843443e+00 1.898638451847081132e-01 -8.274830450377814472e+06 -8.274852630158966407e+06
6.707398641900258474e-01 2.776695782754728253e-02 7.576769965777923055e-01 3.364008466256323882e+00 8.085369467154955858e-01 3.229712162206521686e-02 8.199138881993675909e+00 -1.767476996330652472e+00 -1.465233668332253103e-01 2.582276620588825899e+00 -1.314489339419657732e+00 1.457139911161838386e+00 -6.549224686179651320e+07 -6.549226904157766700e+07
4.872489948813606420e-01 1.868730456689011304e-02 7.942475346491568722e-01 3.597758292181861606e+00 1.019603210295659368e+00 3.233491194399944479e-01 7.706834540433074920e+00 -4.194313270095566537e+00 2.055732079139799495e+00 3.788024760252380219e+00 4.037303432921037327e+00 1.130617367313806909e+00 -3.511949760576491016e+13 -3.511949760578708984e+13
7.002688050112805263e-01 8.196311872173708823e-02 8.658016917534560042e-01 3.163169769844877521e+00 7.590195308739988711e-01 3.589590364962890190e-01 7.989750612365043025e+00 2.811198916866031183e-01 5.875474639197451054e-01 4.663984784267768191e+00 4.012414224562668608e+00 1.771206279480233459e+00 -6.155509576608692188e+13 -6.155509576610910156e+13
6.524217091070050323e-01 3.664358171986102641e-02 9.402935123728468625e-01 3.400012525083433879e+00 1.100860970942287631e+00 2.572603091685546350e-01 8.260152652966597842e+00 -4.499662065795616783e+00 -1.173009974581593617e+00 4.650123224574565839e+00 -4.315118199392491860e+00 1.075303137144043575e-01 -1.539359710186520815e+09 -1.539359732366301775e+09
