# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.188631377400414912e-01 2.262019190164917329e-02 8.034528710497206294e-01 3.830777887933106030e+00 9.727996248130987844e-01 -2.083051676612413255e+06 -2.083058540164472768e+06
3.153706461697921015e-01 2.254627926897211088e-02 8.787826325676670880e-01 3.623076739526092993e+00 9.687274347055904178e-01 -2.240460390223113820e+06 -2.240467253775173333e+06
3.730920588988654862e-01 2.270425474179646810e-02 6.606014007337404070e-01 3.558631499488107863e+00 9.586870993832089516e-01 -4.046770268532127957e+05 -4.046838904052723665e+05
3.695760454979937215e-01 2.276784326366470407e-02 8.653476673621256499e-01 2.916996798118879575e+00 9.616821371946046026e-01 -7.211026072273310274e+05 -7.211094707793905400e+05
2.556571623741629717e-01 2.280177224419157808e-02 5.177705979926928714e-01 2.856495745505096995e+00 9.711211675696839185e-01 -8.564097445253697515e+04 -8.564783800459653139e+04
3.536841972807856505e-01 2.270075519250000853e-02 7.274019327790394174e-01 3.036669163500388180e+00 9.681126119386711526e-01 -1.060468942687785457e+05 -1.060537578208381019e+05
3.357955970888679698e-01 2.285409621412872599e-02 8.342129398822639708e-01 3.386117132029466070e+00 9.668821977685032598e-01 -1.124034286482301541e+06 -1.124041150034361053e+06
3.195954597499406358e-01 2.257784905041551604e-02 7.884502059851359324e-01 3.600026855127533398e+00 9.738381801099882384e-01 -9.423211969942159485e+05 -9.423280605462754611e+05
3.802507601683657867e-01 2.323327808718638268e-02 7.347894096246468942e-01 3.940171223312803228e+00 9.665766933473064482e-01 -3.768025539971417747e+06 -3.768032403523477260e+06
2.786063403862639176e-01 2.222375272038906724e-02 8.568851031125157558e-01 3.310127461212416300e+00 9.705526353650935079e-01 -2.916029662632882246e+05 -2.916098298153477954e+05
3.742498901782501664e-01 2.277121039640310485e-02 8.639654828033281886e-01 3.753471089600956212e+00 9.660067292844863873e-01 -6.721107661591781303e+06 -6.721114525143841282e+06
3.463243201939846250e-01 2.260884754192711565e-02 6.973016786108978682e-01 3.963387611974979130e+00 9.696239537808356568e-01 -1.516877150234587491e+06 -1.516884013786647003e+06
3.086312507180479781e-01 2.328113190582746170e-02 8.861833787967393627e-01 3.963645861206753551e+00 9.678269628833190419e-01 -4.719132858927963302e+06 -4.719139722480023280e+06
2.757332214399980663e-01 2.244873427645853806e-02 6.119702150369412674e-01 1.940409130156632633e+00 9.663082382819246918e-01 -8.307729303112227353e+04 -8.308415658318182977e+04
2.804010669593048899e-01 2.275029525829712351e-02 6.090636625697186668e-01 2.407154594099914391e+00 9.760007174676821329e-01 -7.057052682259136054e+04 -7.057739037465091678e+04
3.856215731910648259e-01 2.213990614998351952e-02 7.478864645700668001e-01 3.912742158122695990e+00 9.714899480709213719e-01 -4.591219742957840674e+06 -4.591226606509900652e+06
3.908471286093875841e-01 2.215297640458639347e-02 6.732328058196843656e-01 3.389371940304101827e+00 9.752925841545685426e-01 -4.555780558303020662e+05 -4.555849193823616370e+05
2.532607655566322391e-01 2.285814938400893698e-02 7.319878960296591908e-01 1.834992196881458426e+00 9.725954306368600477e-01 -7.401189569395550643e+04 -7.401875924601506267e+04
3.076563260475622119e-01 2.189243509439739444e-02 8.686238451728243160e-01 3.656273662835683336e+00 9.747064635845994474e-01 -2.020294064270842588e+06 -2.020300927822902100e+06
3.723043176385375519e-01 2.292253185507827154e-02 7.246308760445350217e-01 3.633138323378570345e+00 9.713609909844660439e-01 -1.341592551883053035e+06 -1.341599415435112547e+06
2.667547436192874710e-01 2.234297407299618357e-02 6.859388839456450615e-01 1.955999207987784372e+00 9.717615457974984050e-01 -7.334146144006859686e+04 -7.334832499212815310e+04
3.175222599373831445e-01 2.288067043657043484e-02 8.143329163240622393e-01 3.022999667885091224e+00 9.705297764885103540e-01 -1.608756349922925001e+05 -1.608824985443520709e+05
