# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
3.621898141799199666e-01 2.271715698742832190e-02 6.749195814821646877e-01 3.637018421369976551e+00 9.665457393238783279e-01 3.082653344610031265e-01 3.018869429810196792e+00 -2.001956298272637650e+05 -5.204712066021359526e+06
3.146335616281125680e-01 2.261951481064604710e-02 5.346070492698082877e-01 3.386874962191549709e+00 9.700823093014190324e-01 4.043657383759088120e+00 4.425867965020074735e+00 -2.702913945564061403e+06 -7.707430381758157164e+06
2.652527824516182631e-01 2.234000983561512665e-02 7.132847366882850704e-01 3.897269445041450453e+00 9.742097387899910643e-01 1.691412133388034977e-01 4.543996822214570130e+00 -9.660422604529000819e+04 -5.101120662239385769e+06
3.570174367348167288e-01 2.275538934597437848e-02 5.233839868684324603e-01 1.845602517281770272e+00 9.702555848166669605e-01 6.488192005947883700e-01 -3.290567994536858443e+00 -2.104104921755166724e+05 -5.214926928369612433e+06
3.782814046561286392e-01 2.280841135129934791e-02 8.067481068279929168e-01 3.165515380482265329e+00 9.729262089457062501e-01 -6.361811783826887279e-02 -4.889653190497459612e+00 -3.099075274960538372e+05 -5.314423963690149598e+06
3.125412270360656830e-01 2.253476889919527743e-02 6.322985415352396776e-01 2.841594034637273225e+00 9.703035682993547129e-01 1.864044325674112823e+00 4.520944679297212332e+00 -1.065879192865713499e+06 -6.070395629059809260e+06
3.247244611251670632e-01 2.312768391026169199e-02 8.759310307128183037e-01 3.908682497658978683e+00 9.780836608265911503e-01 4.560193721906558029e-01 4.868233227975595767e-01 -7.172396014203988016e+05 -5.721756037614494562e+06
3.904372608491708529e-01 2.295124097276213249e-02 5.481167680433167710e-01 1.946723537373197477e+00 9.689828362434471654e-01 4.361499506970374362e+00 3.547800936530668636e+00 -5.595445369338514283e+05 -5.564060973127947189e+06
3.727808539849676306e-01 2.321041642884706310e-02 6.254230260780559991e-01 2.563301026484793965e+00 9.733589993522329120e-01 4.889188962246627135e+00 1.052643709153050722e+00 -1.614819834755379707e+05 -5.165998419669633731e+06
3.566264298902277474e-01 2.251512761050675909e-02 5.102756169279052401e-01 3.838872299857619019e+00 9.783612714191551873e-01 1.050650514481110687e+00 3.796475986982837725e+00 -2.183379378045341000e+05 -5.222854373998629861e+06
3.542473906984123233e-01 2.207733255722450424e-02 5.602760794145047463e-01 2.028387392991277682e+00 9.723137947186406560e-01 3.877378677686366792e+00 3.035560738770517020e+00 -1.574016198365036398e+05 -5.161918056030599400e+06
2.527820915026522952e-01 2.275101648371400873e-02 6.194367934200002423e-01 3.658253399564890262e+00 9.680396986878774257e-01 2.920793251339601326e+00 3.259522941777095895e+00 -2.932387406613705680e+05 -5.297755176855466329e+06
3.888620971745799793e-01 2.231778619479730941e-02 5.840603409191147399e-01 3.649773377997232338e+00 9.664939420867608710e-01 1.434350223038161509e+00 3.109763511546475456e+00 -4.582961479814164340e+05 -5.462812584175512195e+06
3.567066120328503120e-01 2.275116320488478061e-02 6.804463229846523520e-01 2.869728439401912468e+00 9.660225225148787453e-01 1.321849979032379885e+00 4.502964774119412539e+00 -1.367723033754814416e+06 -6.372239469948910177e+06
3.776758629573216397e-01 2.253168351589867127e-02 8.610741644625929947e-01 2.445170286618206124e+00 9.659285130383321594e-01 2.482918542181475008e+00 1.828341238910113908e+00 -2.844667556265573949e+05 -5.288983191820653155e+06
2.808804011597099692e-01 2.284886740198981137e-02 5.007985581980183287e-01 3.344275933230868247e+00 9.687364141672430984e-01 1.340912938862274917e+00 -3.294664213118378093e+00 -1.560354295828882605e+05 -5.160551865776984021e+06
2.688420876288389882e-01 2.381272138929378321e-02 8.942178614616539400e-01 3.157025065640045813e+00 9.748968796501999989e-01 3.716843630932215703e+00 -7.614742669334306768e-01 -1.240381898584468290e+05 -5.128554626052542590e+06
3.279569049650983836e-01 2.272173577350894424e-02 8.042634504803842788e-01 3.660239275233901690e+00 9.731035690524478809e-01 4.668814731752407354e+00 -5.276983950336475715e-01 -5.545554914103252813e+05 -5.559071927604421042e+06
2.980739088197835729e-01 2.229968243623252008e-02 8.193665680866775158e-01 3.741036747681664387e+00 9.683448291213115899e-01 -9.340268600684200617e-01 -8.475961066241799458e-01 -3.717663985392171890e+05 -5.376282834733312950e+06
3.787359805678203184e-01 2.222804005224081336e-02 7.002360197341281900e-01 1.847348715701164767e+00 9.718644107646006169e-01 4.716764346042353395e+00 4.296578078507133469e+00 -3.641897498586818576e+06 -8.646413934780914336e+06
3.863764001901868750e-01 2.246678197766448573e-02 6.907851808100855528e-01 3.463623890150047568e+00 9.715305132005715993e-01 -2.305219754147280753e-02 4.883099175152702642e+00 -2.540961102783624083e+05 -5.258612546472458169e+06
3.341243936741548626e-01 2.248930274505796592e-02 6.504504501050707432e-01 1.927762788662372717e+00 9.764253681563108689e-01 3.172727836388102851e+00 3.207955610398000701e+00 -1.716606168195726350e+05 -5.176177053013668396e+06
2.706249200174324354e-01 2.214569936116034254e-02 8.667313090194341818e-01 3.935055143558728652e+00 9.691400161705765459e-01 9.110321208358551637e-01 4.844394454227158420e+00 -2.981286846727720462e+06 -7.985803282921816222e+06
3.867520072947379650e-01 2.193787003189729898e-02 8.593667891671545878e-01 3.834999670986698028e+00 9.688239250307406625e-01 -6.172972382502912581e-01 3.100660718707271002e+00 -1.298602001183144748e+06 -6.303118437377240509e+06
3.379109201355209313e-01 2.277359015985721408e-02 6.634036647341965409e-01 3.299591330538634182e+00 9.697703638881184363e-01 1.909787349477960028e+00 2.422539395412016461e+00 -1.756130763125251979e+05 -5.180129512506620958e+06
2.587162063119595734e-01 2.331114978018525644e-02 6.459691713014275027e-01 2.296878177175928570e+00 9.636052273109114719e-01 1.951196687479303193e+00 -3.211961738598170246e+00 -1.765666810452509671e+05 -5.181083117239346728e+06
3.018302668290700486e-01 2.276519204580634836e-02 5.706998428858813810e-01 2.387633936035113535e+00 9.614269563123027940e-01 -7.097981695973978322e-01 7.320156086793447869e-01 -1.594632510965727270e+05 -5.163979687290668488e+06
