# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
2.988448018637221426e-01 2.273478309805721659e-02 6.619195401468052076e-01 3.726505908394591060e+00 9.728321528002421559e-01 -4.673759052340564813e+04 -4.674359576638694853e+04
2.832100239278359521e-01 2.292382551369735386e-02 7.087148197245637382e-01 2.102172164514513497e+00 9.683743366217278936e-01 -3.255726223806265625e+04 -3.256326748104395665e+04
3.568209606639399789e-01 2.242107837073584881e-02 8.622913702678728365e-01 3.307236743790801459e+00 9.694945706436062238e-01 -1.020139569583697827e+06 -1.020145574826679076e+06
3.873686977751994998e-01 2.309474963805408995e-02 8.448727798476196593e-01 3.311995381060882870e+00 9.598963591004434637e-01 -1.353259011744531803e+06 -1.353265016987513052e+06
3.330826356741634076e-01 2.270421627050178345e-02 7.308691849742462443e-01 3.650379163878589850e+00 9.774054860672576339e-01 -4.105786658998018829e+05 -4.105846711427831906e+05
3.364713473305265823e-01 2.316105306695876581e-02 7.524434627030419653e-01 3.291503234976818959e+00 9.695843150228919960e-01 -1.673104508074997284e+05 -1.673164560504810361e+05
2.698852013140869421e-01 2.228786925583368592e-02 5.682592730696511829e-01 2.742569451831899485e+00 9.728451582621194804e-01 -4.206180223043223668e+04 -4.206780747341353708e+04
3.704064073661101908e-01 2.271203264577803874e-02 8.306140789407263636e-01 2.618842921646808097e+00 9.676128708974838233e-01 -9.891642173803984770e+04 -9.892242698102115537e+04
3.966314406351666433e-01 2.253095577004946351e-02 5.886517330173247631e-01 3.618669797342769279e+00 9.702732291305883328e-01 -1.204547347491073306e+05 -1.204607399920886382e+05
2.619096952696267078e-01 2.283383862850024704e-02 7.270853305648590226e-01 3.903700221549191163e+00 9.729272635948505998e-01 -1.059709805797766894e+05 -1.059769858227579971e+05
3.518909457905184390e-01 2.323809765665822355e-02 8.709849104776850037e-01 3.727019776486586444e+00 9.717643201419942089e-01 -2.809959782790468540e+06 -2.809965788033450022e+06
3.601580228408415296e-01 2.278463311693584500e-02 8.512176754373699250e-01 3.218706362543374500e+00 9.697981779863042995e-01 -7.559935534317669226e+05 -7.559995586747481721e+05
3.172324249047437927e-01 2.214893088186342326e-02 8.983875072216164215e-01 3.437737488454179591e+00 9.689217201402651192e-01 -9.848197983277150197e+05 -9.848258035706962692e+05
2.646543153502103340e-01 2.321988910503887393e-02 8.999607456508633696e-01 3.043631686222390442e+00 9.775940959330393643e-01 -5.976813055899247411e+04 -5.977413580197377451e+04
3.884944300604583067e-01 2.269808175486859661e-02 5.080553269053591503e-01 2.025545112970729811e+00 9.712917680174658619e-01 -4.398988344484198024e+04 -4.399588868782328063e+04
3.040386799961165565e-01 2.255208307392740988e-02 8.713831810714609549e-01 3.422410839374693925e+00 9.706865119813344878e-01 -5.530897364167119376e+05 -5.530957416596931871e+05
3.934353039055593637e-01 2.266581591951103217e-02 6.868452427542267591e-01 3.577225107833314155e+00 9.665371561421610691e-01 -5.866083098281486891e+05 -5.866143150711299386e+05
2.852011537891956938e-01 2.280346661987564527e-02 5.259018586942791895e-01 2.100426343443774435e+00 9.739872791870716195e-01 -5.112073889948004944e+04 -5.112674414246134984e+04
2.765388889641730574e-01 2.297998278899657590e-02 7.327351487759035109e-01 1.760153939159382119e+00 9.724418743374527718e-01 -3.927547658240946475e+04 -3.928148182539076515e+04
3.294059721012140840e-01 2.295283854637964610e-02 5.374790286189745636e-01 2.008588228513496610e+00 9.711322243208169169e-01 -4.752847525368101924e+04 -4.753448049666231964e+04
3.715690901391145995e-01 2.248330447618033037e-02 5.024544673562745256e-01 2.677657840283929946e+00 9.617021785750440310e-01 -3.446286019310200936e+04 -3.446886543608330976e+04
3.712955639305047795e-01 2.272722591061399761e-02 6.318040176722102830e-01 1.855804631300147722e+00 9.713092828327896111e-01 -3.090613004891762830e+04 -3.091213529189892870e+04
3.110703249684467209e-01 2.301076944829540810e-02 5.536725207277786165e-01 2.664726418312595158e+00 9.710835126794055139e-01 -3.770390910484362394e+04 -3.770991434782492433e+04
2.932811187455418023e-01 2.299201804966580914e-02 8.754509042539184716e-01 3.771829131183034534e+00 9.742545772988151498e-01 -1.192179990530782379e+06 -1.192185995773763629e+06
3.778776738882007602e-01 2.375964480786882382e-02 6.243266457491564170e-01 3.324269316738043933e+00 9.707028554856323987e-01 -3.705634507756833045e+04 -3.706235032054963085e+04
3.767415200798254205e-01 2.314127907880913701e-02 8.824103977487863792e-01 3.943061157813982476e+00 9.662365453542115512e-01 -6.748770744922458194e+06 -6.748776750165439211e+06
3.285098921351942147e-01 2.303143317491516961e-02 6.033009227550576448e-01 1.920930151127461460e+00 9.633433044844051940e-01 -4.212580429133903817e+04 -4.213180953432033857e+04
2.695913299612555658e-01 2.316457108927932884e-02 5.690685248378798411e-01 2.831689560371576597e+00 9.637134927367401183e-01 -4.131590436912242149e+04 -4.132190961210372188e+04
3.498679047476034309e-01 2.264605354003461010e-02 5.546356981602498237e-01 2.662408996080960044e+00 9.717848860562705582e-01 -2.707918773779082403e+04 -2.708454467607063270e+04
2.850103174886758906e-01 2.214788425138373290e-02 7.421174660677807289e-01 2.565522662503427753e+00 9.708696268676695329e-01 -8.549044109623435361e+03 -8.554401047903245853e+03
3.327623353338817203e-01 2.271953227198537581e-02 5.232193286961142054e-01 3.019489896252260497e+00 9.727846207365558051e-01 -2.865841298300472045e+04 -2.866376992128452912e+04
2.625372453093846037e-01 2.292016981031359812e-02 8.017287237383877718e-01 2.488938168765078895e+00 9.733668406464071055e-01 -9.648499046949946205e+03 -9.653855985229756698e+03
3.627639283501614687e-01 2.343951737710823352e-02 7.409503742333354293e-01 2.703193394030044772e+00 9.734770722384196162e-01 -1.702588387144197259e+04 -1.703124080972178126e+04
2.500869952946365160e-01 2.261700154632435150e-02 7.248842574844943654e-01 2.548221155430671292e+00 9.658651035794779682e-01 -2.638099232375171778e+04 -2.638634926203152645e+04
